#  kx   kyz         |phi(kx, kyz)|^2
   98     0   6.9844394546093051E-38
   99     0   1.7149591176349112E-38
  100     0   5.4153463604401777E-37
  101     0   7.4778779581991783E-37
  102     0   1.7367793206705292E-37
  103     0   3.6022498611749086E-37
  104     0   2.0378344539481066E-37
  105     0   2.4765941162388088E-37
  106     0   1.2907837346769779E-38
  107     0   1.2453362681438792E-37
  108     0   7.8815778434423995E-37
  109     0   3.4253908661106636E-37
  110     0   4.6765428339667354E-38
  111     0   3.4521894330075681E-38
  112     0   1.8328264915619128E-36
  113     0   1.1444149651994053E-36
  114     0   6.7589117644130817E-38
  115     0   1.2218827766753585E-37
  116     0   9.2783813121102773E-37
  117     0   7.8449395472805998E-37
  118     0   1.0311828444083232E-37
  119     0   3.7197908816719972E-37
  120     0   2.4286925640341763E-36
  121     0   4.1102250459896102E-37
  122     0   2.0222765251861249E-37
  123     0   4.6325019409500743E-38
  124     0   7.2236221560339747E-37
  125     0   2.6854167831243364E-37
  126     0   5.6825651758798342E-37
  127     0   2.5110637111664636E-36
  128     0   6.1842252701531677E-36

    0     1   1.0206256990076512E+00
    1     1   1.4715178486322820E+00
    2     1   2.9948951946572375E-36
    3     1   8.2572969569316013E-34
    4     1   7.5311732090093751E-36
    5     1   1.0113977228809242E-33
    6     1   7.4323962771607002E-37
    7     1   9.4074158283024520E-35
    8     1   1.0075203324651474E-36
    9     1   1.8784747585413235E-34
   10     1   1.2368255385764692E-36
   11     1   1.0798822148001553E-34
   12     1   5.9226964645936442E-37
   13     1   7.0868072053813357E-34
   14     1   2.6516768286983280E-37
   15     1   3.3122784525066345E-34
   16     1   1.7649447287429977E-36
   17     1   1.3514902190728423E-34
   18     1   1.5717859668825298E-37
   19     1   2.7045660181900065E-34
   20     1   5.0036561295066202E-37
   21     1   3.3934004953488645E-35
   22     1   2.7695689560194887E-37
   23     1   3.2507723559844463E-34
   24     1   8.9324968505579176E-38
   25     1   2.0200714677927106E-34
   26     1   1.0101482483932665E-36
   27     1   1.3484792916036528E-35
   28     1   5.1537388915684214E-37
   29     1   3.2988673005829477E-35
   30     1   2.6279460621483159E-37
   31     1   2.7554111576874831E-35
   32     1   2.5256922235947989E-36
   33     1   2.3400196296862359E-34
   34     1   1.7215610105743751E-37
   35     1   2.8388490211039463E-35
   36     1   9.9979864220699749E-38
   37     1   1.2548890143850383E-35
   38     1   2.4957196275414239E-37
   39     1   3.5933515260482839E-35
   40     1   3.5637610720401049E-37
   41     1   2.3464915737765372E-34
   42     1   3.1301696709409377E-37
   43     1   1.2321648575271281E-35
   44     1   7.3583575800992343E-37
   45     1   3.4846654759177703E-35
   46     1   2.6751901500023513E-37
   47     1   4.8955404529500205E-35
   48     1   1.7826399863707430E-36
   49     1   2.6084551298761776E-35
   50     1   1.5893083224886468E-37
   51     1   5.7121340181860784E-35
   52     1   6.8170818412215063E-37
   53     1   1.2595070917388299E-35
   54     1   5.1153173801131880E-37
   55     1   1.9793749576870083E-34
   56     1   7.6116983976680978E-37
   57     1   1.8773204091758171E-35
   58     1   2.5865123083457439E-37
   59     1   1.2110540864325370E-35
   60     1   5.2595497251012289E-37
   61     1   1.0021171252488351E-35
   62     1   3.2966801927300048E-37
   63     1   1.4900965378884031E-34
   64     1   4.4502907428481028E-36
   65     1   3.2984582173856786E-34
   66     1   2.8507824896302300E-37
   67     1   9.6115112170026307E-37
   68     1   3.1284465529048905E-37
   69     1   4.3099253488582457E-36
   70     1   3.0518431787270316E-37
   71     1   4.5388826557149679E-35
   72     1   6.6788066873485698E-37
   73     1   7.0166137079475111E-35
   74     1   1.2137396262163457E-37
   75     1   9.0222345999428252E-36
   76     1   6.5823664160336718E-37
   77     1   2.8797781803122907E-35
   78     1   1.9938134943635733E-37
   79     1   6.1584810448964494E-35
   80     1   2.7586672209906299E-36
   81     1   5.3070932954235378E-35
   82     1   7.8320808629779234E-37
   83     1   1.7176483660698150E-35
   84     1   3.4790879049416331E-37
   85     1   9.9225378659468450E-36
   86     1   9.2484263216884751E-37
   87     1   2.6913487281926177E-35
