# kyz             |phi(kyz)|^2
    0   1.7710548242948780E-34
    1   1.1377689076780877E-01
    2   1.2565830693084523E-01
    3   1.7361088847482670E-01
    4   3.6926826339053920E-01
    5   2.2759567730831612E-01
    6   1.3927953234686669E-01
    7   9.5406625246172883E-02
    8   1.3666735091164804E-02
    9   1.0561803596962320E-33
   10   9.2544518588511440E-34
   11   1.2751422925792993E-33
   12   6.0806320823353411E-34
   13   1.1396538837084361E-33
   14   8.9032128025415160E-34
   15   8.5967339486504476E-34
   16   4.5282568019772788E-34
   17   7.6801457412626070E-34
   18   5.3456864451221184E-34
   19   1.2091015987022706E-33
   20   9.4123864005259023E-34
   21   7.4387252160319042E-34
   22   1.0816528310638479E-33
   23   8.5314170564201627E-34
   24   5.2391617926214072E-34
   25   9.7639247891951686E-34
   26   9.3028509963721115E-34
   27   1.0783258879679339E-33
   28   1.0247741309769551E-33
   29   1.4303468020310010E-33
   30   1.0279826357289370E-33
   31   7.2969440864696761E-34
   32   4.5456973931620307E-34
   33   6.2633856416768496E-34
   34   5.7845373287995954E-34
   35   1.1173514122279520E-33
   36   1.3637179508174008E-33
   37   1.0046213199387832E-33
   38   7.2700092565386784E-34
   39   6.5578832562467084E-34
   40   5.8448078747433151E-34
   41   5.4352158818908758E-34
   42   9.0076570670731842E-34
   43   1.0080985815182174E-33
   44   7.7265957294763002E-34
   45   8.7752044653103195E-34
   46   7.2736594348206287E-34
   47   8.5495042247333806E-34
   48   4.4060431703814104E-34
   49   7.5350498766784164E-34
   50   6.3136757755733521E-34
   51   8.9421098318637342E-34
   52   8.4226458801168619E-34
   53   9.6786460435030582E-34
   54   4.6954696656930902E-34
   55   6.1671186461179619E-34
   56   4.6657210115490983E-34
   57   9.8939611880852819E-34
   58   9.2371218047636949E-34
   59   1.3521383670027399E-33
   60   1.7099654074250718E-33
   61   9.6689359209763690E-34
   62   1.5034043000087937E-33
   63   8.0628277336638996E-34
   64   4.5377024870731515E-34
   65   7.2179099515504563E-34
   66   8.3639215494714779E-34
   67   9.6523755422876329E-34
   68   2.7579428421915316E-33
   69   1.1429398527282868E-33
   70   7.1236019318600175E-34
   71   1.1772832847301929E-33
   72   5.0352841983564443E-34
   73   7.0247437450543713E-34
   74   6.0042863775008282E-34
   75   1.1749343716517177E-33
   76   8.8991144052094771E-34
   77   9.2684495725244682E-34
   78   5.0858522161892320E-34
   79   6.4890792094987684E-34
   80   3.7715956792808243E-34
   81   7.3901464512438938E-34
   82   6.4659630412918186E-34
   83   7.9381200028913946E-34
   84   9.6376341998881909E-34
   85   7.9990420863994582E-34
   86   7.2059377872606647E-34
   87   7.2228573410655427E-34
   88   6.4049995920989905E-34
   89   7.5425528922722452E-34
   90   6.1597260052194274E-34
   91   1.1333724337537976E-33
   92   9.4724358579719715E-34
   93   8.4724317570669355E-34
   94   7.9520955598214981E-34
   95   6.8123351161999971E-34
   96   4.3416053796831063E-34
   97   7.6820074597799827E-34
   98   8.0544024827221163E-34
   99   1.0182655574135354E-33
  100   8.2620157361831746E-34
  101   8.7844028990531370E-34
  102   1.0922838706586119E-33
  103   6.3562437140804776E-34
  104   4.1542160261049131E-34
  105   7.2398113768980457E-34
  106   9.2338770110950298E-34
  107   9.9717767908412407E-34
  108   1.1926486480642497E-33
  109   9.6641872682608752E-34
  110   5.8377882535088251E-34
  111   6.7380989675569370E-34
  112   4.9206900684523980E-34
  113   7.6745659626392929E-34
  114   7.3202672349534287E-34
  115   8.7221627638666722E-34
  116   1.1844895368569072E-33
  117   1.1104328745619015E-33
  118   7.0574031042137337E-34
  119   5.5055707574635789E-34
  120   5.9899426150783653E-34
  121   1.0988329294065123E-33
  122   2.2126303180460801E-33
  123   1.0319121881494283E-33
  124   1.4273497515750210E-33
  125   9.8771336310017046E-34
  126   1.1552105438670008E-33
  127   6.5393945461444950E-34
  128   5.2979557138853737E-34
