#  kx              |phi(kx)|^2
    0   2.1248363976711002E-03
    1   6.8034268632356952E-03
    2   6.4588742458199034E-03
    3   6.1320452978304461E-03
    4   5.8220148959177691E-03
    5   5.5279069342779501E-03
    6   5.2488919234044695E-03
    7   4.9841832649959962E-03
    8   4.7330368425375141E-03
    9   4.4947472202945668E-03
   10   4.2686465426858763E-03
   11   4.0541018241188418E-03
   12   3.9692106514393876E-03
   13   3.7687457830769149E-03
   14   3.5785758496980767E-03
   15   3.3981638786448106E-03
   16   3.2954829026273359E-03
   17   3.1282491335769039E-03
   18   2.9696491948829661E-03
   19   2.8192300126655767E-03
   20   2.7516845191730660E-03
   21   2.6116682488030079E-03
   22   2.4789066602884254E-03
   23   2.3961753645779069E-03
   24   2.2735841854063421E-03
   25   2.2140942048974295E-03
   26   2.1003223010836298E-03
   27   1.9925115969782327E-03
   28   1.9210440510602220E-03
   29   1.8218131291823760E-03
   30   1.7700147475680481E-03
   31   1.7183086957818850E-03
   32   1.6143097182323308E-03
   33   1.5655611084677125E-03
   34   1.4834314530478563E-03
   35   1.4370307573731652E-03
   36   1.3785119822948425E-03
   37   1.3053859407214671E-03
   38   1.2621440523553954E-03
   39   1.2081798774410562E-03
   40   1.1661857863225599E-03
   41   1.1033436042464787E-03
   42   1.0538319591402703E-03
   43   1.0151435963678833E-03
   44   9.7698607295968040E-04
   45   9.3054361985317664E-04
   46   8.9392977472144738E-04
   47   8.5795417865514912E-04
   48   8.1475721522345792E-04
   49   7.8048873936342549E-04
   50   7.4979364249157449E-04
   51   7.1634645053586044E-04
   52   6.7694016213942895E-04
   53   6.5270910028312275E-04
   54   6.2130393490777373E-04
   55   5.9028290712887627E-04
   56   5.6490947559935552E-04
   57   5.2980859136499440E-04
   58   5.0475971834019876E-04
   59   4.7664584133607610E-04
   60   4.5120867077905029E-04
   61   4.2237402366380507E-04
   62   3.9408409099349876E-04
   63   3.7050109417177533E-04
   64   3.4368697525226062E-04
   65   3.2269936199184060E-04
   66   2.9920478763499847E-04
   67   2.8105456464516242E-04
   68   2.6051065930491436E-04
   69   2.4136515555989396E-04
   70   2.2682053749887570E-04
   71   2.1006153488739251E-04
   72   1.9444344605739657E-04
   73   1.8278521699869755E-04
   74   1.6910470934372796E-04
   75   1.5635855570924679E-04
   76   1.4448606402132368E-04
   77   1.3584888352371143E-04
   78   1.2544805757386363E-04
   79   1.1576531793129129E-04
   80   1.0675447862715801E-04
   81   1.0037585452817003E-04
   82   9.2486102542614843E-05
   83   8.5149872888916104E-05
   84   7.8331679419367899E-05
   85   7.1998270212206815E-05
   86   6.6118468515230741E-05
   87   6.0663029421259034E-05
   88   5.5604513738267494E-05
   89   5.0917169327969751E-05
   90   4.7832841995407837E-05
   91   4.3747299237369109E-05
   92   3.8847635002417066E-05
   93   3.5417447444720296E-05
   94   3.2251357253506055E-05
   95   2.9331676776358449E-05
   96   2.6641785084287149E-05
   97   2.4166059182984406E-05
   98   2.1889821659631200E-05
   99   1.9799277474450702E-05
  100   1.7217163309660962E-05
  101   1.5505027345651271E-05
  102   1.3939831381559006E-05
  103   1.1985648437691172E-05
  104   1.0721497301409103E-05
  105   9.5721294222245201E-06
  106   8.1229375301784226E-06
  107   7.2097644405193368E-06
  108   6.0511791212764730E-06
  109   5.3357226155290602E-06
  110   4.4229926035922008E-06
  111   3.6342892836281819E-06
  112   2.9577930030183751E-06
  113   2.5604688603039332E-06
  114   2.0493735240409650E-06
  115   1.6207511864328260E-06
  116   1.2650060085621158E-06
  117   8.8383315917795328E-07
  118   6.6390050958519892E-07
  119   4.8943828339148358E-07
  120   3.1115096543358059E-07
  121   1.8767370806870077E-07
  122   1.0623373193517256E-07
  123   5.5636823276466284E-08
  124   2.0863456748784857E-08
  125   6.1989463730679539E-09
  126   8.5923496220754478E-10
  127   1.0428497071136303E-11
  128   2.8945285650926658E-35
