#  kx   kyz         |phi(kx, kyz)|^2
    0     0   1.6927118651840940E-34
    1     0   4.9840960474864990E-35
    2     0   1.6936522606647518E-34
    3     0   1.3917853113735884E-34
    4     0   3.7615819226313200E-36
    5     0   1.8807909613156600E-36
    6     0   1.1308255654910406E-35
    7     0   2.7271468939077070E-35
    8     0   4.7019774032891500E-37
    9     0   1.7397316392169855E-35
   10     0   1.2460240118716248E-35
   11     0   3.0498200932084249E-35
   12     0   1.1308255654910406E-35
   13     0   1.9560225997682864E-35
   14     0   2.3509887016445750E-36
   15     0   1.4764209046327931E-35
   16     0   1.1872492943305104E-35
   17     0   1.3917853113735884E-35
   18     0   1.8243672324761902E-35
   19     0   3.1797122189742877E-36
   20     0   4.2846769087472380E-36
   21     0   2.7183306862765399E-37
   22     0   4.8571426575976920E-35
   23     0   8.4885385808754437E-36
   24     0   3.3066656088630948E-35
   25     0   9.2628954844796256E-36
   26     0   1.7162217522005398E-36
   27     0   8.5223340434615844E-37
   28     0   1.3635734469538535E-35
   29     0   2.2122803682475451E-35
   30     0   1.4100422080097971E-35
   31     0   1.5024287171447362E-35
   32     0   2.6448622893501469E-35
   33     0   6.8766419523103819E-36
   34     0   7.8655265749396313E-36
   35     0   1.7964859758426241E-35
   36     0   0.0000000000000000E+00
   37     0   7.7876500741976547E-36
   38     0   2.0336052269225574E-35
   39     0   4.0260681515663347E-36
   40     0   3.3031391258106279E-36
   41     0   5.7893096777997660E-36
   42     0   1.8807909613156600E-37
   43     0   3.8651723622975341E-35
   44     0   1.1925390189092107E-35
   45     0   3.3868930983067159E-36
   46     0   1.1590374299107755E-35
   47     0   2.5737816153238617E-35
   48     0   4.7019774032891500E-38
   49     0   4.2473916973070935E-35
   50     0   1.7464264468869031E-35
   51     0   1.1868084839489520E-35
   52     0   9.1453460493973968E-36
   53     0   3.7160315165369564E-36
   54     0   3.6792973180737599E-36
   55     0   1.4777433357774682E-35
   56     0   1.1299439447279239E-36
   57     0   8.7574329136260419E-37
   58     0   9.7345625927470684E-36
   59     0   1.1092625909931442E-35
   60     0   1.2614523752261673E-35
   61     0   4.3643901194123743E-36
   62     0   2.7389018374159299E-36
   63     0   2.0482989063078360E-36
   64     0   5.1927554783070709E-35
   65     0   3.1929365304210384E-36
   66     0   2.6841311475073039E-35
   67     0   1.7268012013579403E-35
   68     0   5.2871531848078700E-36
   69     0   3.3516282677820473E-36
   70     0   8.2743782038350082E-36
   71     0   3.4419943960015106E-37
   72     0   2.1779706268829196E-36
   73     0   1.3430022958144635E-35
   74     0   5.5854348763290255E-36
   75     0   9.6032378332411410E-37
   76     0   1.8461138779664025E-35
   77     0   6.3608938058871033E-36
   78     0   1.1133400870225591E-35
   79     0   1.2189876418027121E-35
   80     0   1.6023824711630939E-35
   81     0   6.3171801097158995E-36
   82     0   4.8037311330322043E-36
   83     0   2.4955607314712927E-36
   84     0   6.3807302730572294E-37
   85     0   9.9484474632990300E-36
   86     0   5.1914605978112432E-37
   87     0   7.5415309444942383E-36
   88     0   8.9668178448662619E-37
   89     0   7.0254154560863277E-36
   90     0   7.3406178377745930E-36
   91     0   9.8814993865998544E-36
   92     0   9.4039548065783001E-37
   93     0   9.2485691470789789E-36
   94     0   5.0083406184722087E-36
   95     0   1.1220788084538429E-35
   96     0   6.8568284440142953E-36
   97     0   7.0530579404298830E-36
   98     0   1.6243460780129794E-36
   99     0   3.4397903440937188E-36
  100     0   2.0075239460136879E-36
  101     0   1.0637362917165221E-36
  102     0   7.8069355283908329E-36
  103     0   1.1935032916188696E-35
  104     0   2.1273692684998664E-36
  105     0   6.1140859099625019E-36
  106     0   8.1100156245862434E-36
  107     0   2.5623021783041128E-36
  108     0   3.3733129243123529E-36
  109     0   6.5660830028966050E-36
  110     0   3.8170735211847862E-36
  111     0   1.1072027495129131E-35
  112     0   4.1061616185827503E-36
  113     0   1.1684287573366321E-36
  114     0   1.6445958049158165E-36
  115     0   3.6395156878142269E-36
  116     0   5.1398777475630015E-36
  117     0   2.6791226691355875E-36
  118     0   1.8150855336738722E-37
  119     0   4.3952997950247130E-35
  120     0   1.3857478449660142E-35
  121     0   5.9535861612708826E-36
  122     0   2.7029564197689529E-35
  123     0   1.2452395358442877E-35
  124     0   1.1593578496965892E-35
  125     0   7.8350831079632572E-36
  126     0   4.4106941505470845E-35
  127     0   2.5847100393666626E-36
  128     0   4.1101986495966705E-35

    0     1   1.0206256990076514E+00
    1     1   1.4715178486322820E+00
    2     1   5.4134109320604862E-01
    3     1   1.9914826542132086E-01
    4     1   7.3262545521465688E-02
    5     1   2.6951789898687298E-02
    6     1   9.9150275941779446E-03
    7     1   3.6475277534778663E-03
    8     1   1.3418511095967902E-03
    9     1   4.9364661597578940E-04
   10     1   1.8159685835703279E-04
   11     1   6.6805135497126006E-05
   12     1   2.4576726182377794E-05
   13     1   9.0410595421890473E-06
   14     1   3.3259598134430777E-06
   15     1   1.2236384340184241E-06
   16     1   4.5013712323611570E-07
   17     1   1.6560142899474868E-07
   18     1   6.0913124581433892E-08
   19     1   2.2415294800578200E-08
   20     1   8.2445513637269668E-09
   21     1   3.0330538648618204E-09
   22     1   1.1155052110539333E-09
   23     1   4.1043208978406140E-10
   24     1   1.5101199709251148E-10
   25     1   5.5568152779965493E-11
   26     1   2.0440379204967108E-11
   27     1   7.5198772370828401E-12
   28     1   2.7650305978845732E-12
   29     1   1.0176933944727083E-12
   30     1   3.7441570073087504E-13
   31     1   1.3769022106982984E-13
   32     1   5.0656604833998896E-14
   33     1   1.8637049918160510E-14
   34     1   6.8515564116477170E-15
   35     1   2.5209834379467212E-15
   36     1   9.2729329011407907E-16
   37     1   3.4149435647559598E-16
   38     1   1.2570517373926016E-16
   39     1   4.6149264789105715E-17
   40     1   1.6975238218312108E-17
   41     1   6.2416880731649340E-18
   42     1   2.2967858694764338E-18
   43     1   8.4687886034596585E-19
   44     1   3.1191678374583225E-19
   45     1   1.1430963804831612E-19
   46     1   4.2111007362327630E-20
   47     1   1.5459730103739704E-20
   48     1   5.6891925264282118E-21
   49     1   2.1011973175000195E-21
   50     1   7.7068852230507630E-22
   51     1   2.8418261727505920E-22
   52     1   1.0415533847311670E-22
   53     1   3.8452575026247174E-23
   54     1   1.4125501611862121E-23
   55     1   5.2009697674042883E-24
   56     1   1.9068640282510733E-24
   57     1   7.0169573141681815E-25
   58     1   2.5945318329206639E-25
   59     1   9.4889246813402587E-26
   60     1   3.4909924281337085E-26
   61     1   1.2935587456057775E-26
   62     1   4.7431949063805127E-27
   63     1   1.7377803776121511E-27
   64     1   6.4240535547878497E-28
   65     1   2.3496906368227704E-28
   66     1   8.6838299602490332E-29
   67     1   3.1905494834875796E-29
   68     1   1.1814102173167530E-29
   69     1   4.3577885354469336E-30
   70     1   1.5757358156750452E-30
   71     1   5.8745525351140253E-31
   72     1   2.1530347261455469E-31
   73     1   8.0140638066469492E-32
   74     1   2.9323801627718150E-32
   75     1   9.4951151281685377E-33
   76     1   4.5503581011582604E-33
   77     1   1.5515017657248396E-33
   78     1   4.0229751320557336E-34
   79     1   1.7258020311597414E-34
   80     1   6.0910374963142501E-35
   81     1   2.8957643264878417E-35
   82     1   4.8129146826480034E-36
   83     1   4.8890003912148991E-35
   84     1   1.1032381824451800E-35
   85     1   8.9402831261951123E-36
   86     1   2.3669037931287549E-35
   87     1   9.3381196702664993E-35
   88     1   4.7681219193969432E-36
   89     1   7.7077738555268379E-35
   90     1   7.6232094347771557E-35
   91     1   5.4213523953435426E-35
   92     1   1.4094257622418365E-35
   93     1   2.4399148779828736E-35
   94     1   4.2734362440174998E-35
   95     1   8.5592243622682495E-35
