# kyz             |phi(kyz)|^2
    0   8.8936896055330348E-34
    1   3.3464097970351112E+00
    2   1.0460680570916512E+00
    3   6.1963982743410195E-01
    4   5.9454932557119800E-01
    5   2.2759567730831609E-01
    6   1.3927953234686669E-01
    7   9.5406625246172883E-02
    8   1.3666735091164804E-02
    9   5.2457945215544266E-33
   10   3.5053075696948751E-33
   11   3.9489770590056554E-33
   12   3.1898620052559560E-33
   13   4.0688219597462236E-33
   14   3.7815647631343113E-33
   15   4.8024431160456651E-33
   16   1.6064476852580517E-33
   17   6.8780448229583152E-33
   18   3.1372040964899699E-33
   19   3.8004133676086742E-33
   20   3.5104683290017593E-33
   21   2.8932378227538384E-33
   22   3.4501352582940043E-33
   23   3.0721946366706727E-33
   24   1.9332385848641928E-33
   25   2.5526049099635443E-33
   26   3.4786072531393119E-33
   27   4.1427566791432316E-33
   28   2.7170689376068054E-33
   29   4.0827931464636778E-33
   30   3.1676898816533444E-33
   31   5.8918849916179622E-33
   32   1.7682135597538482E-33
   33   6.0555551072694468E-33
   34   4.3787165109900489E-33
   35   7.5982742934280017E-33
   36   4.4976849240663279E-33
   37   2.6243357037322512E-33
   38   2.3178010046914794E-33
   39   2.9249092511369818E-33
   40   1.7331853875191701E-33
   41   3.4042384333038558E-33
   42   2.5829337832355888E-33
   43   3.7529057495294701E-33
   44   3.5055279124890112E-33
   45   2.8361729995222818E-33
   46   3.8940242798593102E-33
   47   7.2442035004384452E-33
   48   2.4161896154190800E-33
   49   4.8687369219619032E-33
   50   3.2808033357217120E-33
   51   3.1471428193666000E-33
   52   2.2039237911419604E-33
   53   3.7466582479933335E-33
   54   2.4358873104012690E-33
   55   3.6900883082027167E-33
   56   1.7597376842376675E-33
   57   3.7890286897357744E-33
   58   3.2165590269384722E-33
   59   3.7353614433262965E-33
   60   4.7524052344184574E-33
   61   6.6393090628415199E-33
   62   8.9431088285051583E-33
   63   2.2591358856884700E-32
   64   1.9109693305616726E-33
   65   1.2821182388651681E-32
   66   8.0841038394805154E-33
   67   5.5248500458986403E-33
   68   3.0910122631076239E-33
   69   3.9684218922456079E-33
   70   2.7551277201672445E-33
   71   3.4630470959312525E-33
   72   1.6280688174154671E-33
   73   3.7810838716557512E-33
   74   2.5192522697896794E-33
   75   5.1728992474390561E-33
   76   2.4203138196378463E-33
   77   5.4333974222640928E-33
   78   3.5587023517057710E-33
   79   7.0909957401988081E-33
   80   1.8362435801651724E-33
   81   4.4067955672687532E-33
   82   4.3362208559036878E-33
   83   2.6338673540389672E-33
   84   2.1888591352827052E-33
   85   3.9004279453935418E-33
   86   2.6924432717944196E-33
   87   3.9166520550406735E-33
   88   2.1560706481364912E-33
   89   4.1252409261497740E-33
   90   3.0570260436363200E-33
   91   4.3104607380158842E-33
   92   3.4086755030566027E-33
   93   3.8064237331927821E-33
   94   4.5886311661959264E-33
   95   1.0732153876686360E-32
   96   2.2619862123056484E-33
   97   1.2550852547956684E-32
   98   5.2815382781672270E-33
   99   4.3175575338346929E-33
  100   2.6756934788767087E-33
  101   3.6154893313562775E-33
  102   2.5779579802183630E-33
  103   2.6514023150018509E-33
  104   2.7427467225245692E-33
  105   3.2850046032261340E-33
  106   2.8977684239060849E-33
  107   2.3111188809137810E-33
  108   3.3777730208019795E-33
  109   3.5352114258967349E-33
  110   3.3857746717859963E-33
  111   6.0251483212855784E-33
  112   1.9731059830320084E-33
  113   6.3083820251334251E-33
  114   2.4575738515054586E-33
  115   4.2118814089449817E-33
  116   3.1120464140194848E-33
  117   4.7131124849432135E-33
  118   2.2264593905160916E-33
  119   3.5607355243679130E-33
  120   1.9251134754983339E-33
  121   2.9759081291662411E-33
  122   3.1016694867582304E-33
  123   4.3300368655840877E-33
  124   4.6775626936952366E-33
  125   4.4885190519425870E-33
  126   7.0873520089727224E-33
  127   1.6254053147787070E-32
  128   2.6190618706056022E-33
