#   k               |phi(k)|^2
    0   6.0937627146627384E-35
    1   2.4921435476399330E+00
    2   1.3418308550172189E+00
    3   7.6509719273023147E-01
    4   6.8823315714100408E-01
    5   3.8877546362508258E-01
    6   1.9835241328310310E-01
    7   1.9451621259684479E-01
    8   1.4837134050516679E-01
    9   1.0904045381128157E-01
   10   9.6140620892499015E-02
   11   7.5721601039400621E-02
   12   7.5368946467771675E-02
   13   7.0257307008703362E-02
   14   5.5064526072064260E-02
   15   4.6898701034665813E-02
   16   4.0508196266961012E-02
   17   4.2524166926419402E-02
   18   3.5875463314677697E-02
   19   3.2780241877917678E-02
   20   2.8485862715112949E-02
   21   2.8870197921808033E-02
   22   2.5011262696673652E-02
   23   2.1958785935876558E-02
   24   2.1128553066420395E-02
   25   2.1569769462762366E-02
   26   1.9833704263837435E-02
   27   1.6984171093351565E-02
   28   1.5726028949950080E-02
   29   1.6443341615197414E-02
   30   1.5106052323328846E-02
   31   1.4451252922767893E-02
   32   4.5303229221478939E-04
   33   9.7536507208264759E-33
   34   4.7748692687893300E-33
   35   7.8272114721814115E-33
   36   3.6045477377378645E-33
   37   2.4994277070831451E-33
   38   2.5862834220647163E-33
   39   3.1850609896075245E-33
   40   2.5417064348034496E-33
   41   4.7841916966952901E-33
   42   1.9792159860222361E-33
   43   3.3840252743156443E-33
   44   2.2892640142470804E-33
   45   3.5373150978075320E-33
   46   6.2128343987535903E-33
   47   1.1944543604967097E-32
   48   2.1224950007027862E-33
   49   6.6373765330078934E-33
   50   3.4860620255681547E-33
   51   6.5368994828145217E-33
   52   2.8697197910274269E-33
   53   6.5402274959492951E-33
   54   3.0809591273455882E-33
   55   4.5426216154429010E-33
   56   2.2166166736464344E-33
   57   3.8573501436308597E-33
   58   2.6513391489791538E-33
   59   5.7426223293038990E-33
   60   3.9430437001306331E-33
   61   5.5325765094486324E-33
   62   1.3230630249562578E-32
   63   4.3533742918802507E-32
   64   2.9102781728841344E-33
   65   1.8689061936502569E-32
   66   9.7535473614436593E-33
   67   8.1515691630581389E-33
   68   3.7313201219787038E-33
   69   5.4306895291403098E-33
   70   4.5541290053148743E-33
   71   3.5337155819229652E-33
   72   3.0996762690908468E-33
   73   4.9303367597726168E-33
   74   4.4766573642504795E-33
   75   4.8521318104192335E-33
   76   3.6851262754743428E-33
   77   7.8049634813707395E-33
   78   5.1032549481455176E-33
   79   1.2484461960640483E-32
   80   2.9613320395144580E-33
   81   7.0423103499600835E-33
   82   6.3126084811472623E-33
   83   4.5231465577780270E-33
   84   3.9332412499816728E-33
   85   3.8502613080141533E-33
   86   3.8224310836397827E-33
   87   5.4275993577769852E-33
   88   3.4854807311532695E-33
   89   5.8894143211766492E-33
   90   3.8443133898359982E-33
   91   5.2759370427215608E-33
   92   4.7065020620033967E-33
   93   5.9033088519531510E-33
   94   5.9278782610939585E-33
   95   7.0999891690686056E-33
   96   3.0854538940684972E-33
   97   7.9471176751842116E-33
   98   7.1992124370616751E-33
   99   5.1809933851442632E-33
  100   4.4037153614566268E-33
  101   4.8682456076248154E-33
  102   3.8611018346506554E-33
  103   5.1060481485507387E-33
  104   5.0115623839100383E-33
  105   5.4505036527846150E-33
  106   5.2881079425865410E-33
  107   7.4756419572433324E-33
  108   4.4322726504803299E-33
  109   6.8277465723301347E-33
  110   7.2570923049225808E-33
  111   6.9028706080966052E-33
  112   3.9762045870608657E-33
  113   9.0463444228294123E-33
  114   5.5781480283017983E-33
  115   6.9019995699993774E-33
  116   4.2625233076208881E-33
  117   6.0078214862632359E-33
  118   5.2086400333076081E-33
  119   6.6266521028271961E-33
  120   4.6379174462080302E-33
  121   6.9682481465405641E-33
  122   5.1226481052225731E-33
  123   6.9053920383495962E-33
  124   6.0944092218990790E-33
  125   6.1470085547114190E-33
  126   1.2173977013273213E-32
  127   2.3240997203660661E-32
  128   5.4181886493895392E-33
