# kyz             |phi(kyz)|^2
    0   9.8386027340093005E-06
    1   8.2558137398416886E-01
    2   2.1654058740224871E-01
    3   1.8380029405618764E-01
    4   6.4202081070104139E-02
    5   5.9084359394492698E-02
    6   3.5521062846544937E-02
    7   2.1464632824039397E-02
    8   1.2530794906324246E-02
    9   1.7840247859102799E-02
   10   1.3686820583186019E-02
   11   1.0848445425573450E-02
   12   7.8128508316795062E-03
   13   5.3256866309568766E-03
   14   6.6624377550495240E-03
   15   2.8058971637143319E-03
   16   2.0466872467421408E-03
   17   3.8149560205967101E-03
   18   2.8634590832102582E-03
   19   1.4205049753124466E-03
   20   1.5270316258765659E-03
   21   1.4594872237470224E-03
   22   1.5929628113460774E-03
   23   9.1156329648673837E-04
   24   3.2110153789301943E-03
   25   1.5817274353330608E-03
   26   8.6540853070741976E-04
   27   6.4390042510129204E-04
   28   1.3754003498204683E-03
   29   1.3158271337887137E-03
   30   1.1189841788372689E-03
   31   1.0623954623465511E-03
   32   9.3509428678749656E-04
   33   4.2898903298279527E-04
   34   8.7452431225700802E-04
   35   4.0823333521166933E-04
   36   9.0296856668616780E-04
   37   8.8463950294491943E-04
   38   6.0804117572172409E-04
   39   7.7356293629171245E-04
   40   5.3075771663990874E-04
   41   6.4179374623292331E-04
   42   5.6013083927732824E-04
   43   4.1933382068363127E-04
   44   5.1554674723332695E-04
   45   7.0887832082482376E-04
   46   4.3991569613238907E-04
   47   2.4907264374104482E-04
   48   3.8207388543339373E-04
   49   3.7203534486047503E-04
   50   4.8867637988949070E-04
   51   4.9407672054923234E-04
   52   2.9716667221656851E-04
   53   2.7772155662529737E-04
   54   4.3225496765554068E-04
   55   2.7489846450397449E-04
   56   3.7916459556450649E-04
   57   2.2570562685968345E-04
   58   2.2669159826634621E-04
   59   3.2631486779048408E-04
   60   1.5865038604763695E-04
   61   3.1571579959539743E-04
   62   1.9813043627774530E-04
   63   1.9055859288807816E-04
   64   2.1383784628129367E-04
   65   2.2437010141210793E-04
   66   1.5447534145743110E-04
   67   2.3109279071397668E-04
   68   1.0955265034200270E-04
   69   7.5509296842621391E-05
   70   7.5882499072858279E-05
   71   2.6857184825167002E-04
   72   9.7474621347079307E-05
   73   1.3905520583029878E-04
   74   1.1211403256022046E-04
   75   7.4445900788530230E-05
   76   9.4963066407039893E-05
   77   7.7935568106541768E-05
   78   1.2646307808907291E-04
   79   9.5837886524355605E-05
   80   8.5223406377474281E-05
   81   1.1971160684746343E-04
   82   7.2355561693858073E-05
   83   1.1041634989688861E-04
   84   2.1445771185321076E-05
   85   7.9055140442772139E-05
   86   5.3539530077328301E-05
   87   6.5902184419055555E-05
   88   8.0740039665443283E-05
   89   4.9053837159858816E-05
   90   5.5137749639768931E-05
   91   9.4315254077287076E-05
   92   7.3594224480722843E-05
   93   7.4854898284498799E-05
   94   6.9053838149996650E-05
   95   3.0617144686347113E-05
   96   6.9424160266898214E-05
   97   4.2557762212356293E-05
   98   5.9716005577980036E-05
   99   5.8648866990968091E-05
  100   4.0424715931074723E-05
  101   4.9182154930726415E-05
  102   4.7517289959540955E-05
  103   4.1805536157455060E-05
  104   6.4457252712973347E-05
  105   2.5053874195862735E-05
  106   3.5594878329754209E-05
  107   3.6779872605885520E-05
  108   3.5464645845027325E-05
  109   4.2794283921966061E-05
  110   1.8180920865585397E-05
  111   3.8127941891907394E-05
  112   2.4864161572816461E-05
  113   2.3156561162515019E-05
  114   3.7134140312544373E-05
  115   1.5896709643321176E-05
  116   2.3026628818755085E-05
  117   3.3270083288134485E-05
  118   1.2851200030245068E-05
  119   4.9560150063951188E-05
  120   3.1160294025017658E-05
  121   2.4183949345331024E-05
  122   5.1537494064683830E-05
  123   4.0964835986259597E-05
  124   4.5699656274605004E-05
  125   2.5608011113017298E-05
  126   8.9396275292514241E-06
  127   3.0861449658747494E-05
  128   3.5550020492502389E-06
