#  kx              |phi(kx)|^2
    0   2.2877187792770523E-02
    1   7.2610175575934036E-02
    2   5.7616905012748861E-02
    3   4.9326385429178297E-02
    4   3.2329369276035670E-02
    5   2.6325007072265157E-02
    6   1.9726419368107088E-02
    7   1.9156306291499885E-02
    8   1.4727852070765825E-02
    9   1.5502964390648726E-02
   10   1.0314741596761259E-02
   11   9.6062491096674148E-03
   12   9.5300421146283006E-03
   13   8.0332582560261531E-03
   14   6.8382935433694758E-03
   15   5.7327278935286555E-03
   16   5.7146985381601057E-03
   17   4.1474588363307327E-03
   18   4.1909193465460961E-03
   19   3.6211605889714970E-03
   20   3.5515735227632434E-03
   21   2.9052954681327548E-03
   22   2.4727801847445057E-03
   23   2.0520509159021303E-03
   24   2.1246650754391007E-03
   25   1.9272010853931348E-03
   26   1.6987775694683150E-03
   27   1.5206699407182074E-03
   28   1.5049637488567947E-03
   29   1.3218801611869985E-03
   30   1.3865434257994654E-03
   31   1.0888313514091454E-03
   32   1.1012154781247327E-03
   33   9.8750428693932966E-04
   34   9.5786656048350155E-04
   35   8.6575431539256530E-04
   36   7.9651972101691976E-04
   37   8.2789150806787540E-04
   38   6.8319867627460672E-04
   39   7.7991333647362167E-04
   40   6.6231688871332389E-04
   41   6.6004108056386438E-04
   42   6.1180285186538980E-04
   43   6.1406763151224380E-04
   44   5.7376687241625975E-04
   45   5.3810347754403172E-04
   46   4.8829811706193433E-04
   47   4.9135842507842505E-04
   48   4.7059978238083865E-04
   49   4.1771445563770852E-04
   50   3.8193069871941381E-04
   51   3.5980146435223064E-04
   52   3.6091611221579988E-04
   53   3.2942495410472050E-04
   54   2.8594805434267766E-04
   55   3.0649700532032521E-04
   56   2.6407993521338424E-04
   57   2.5936105356865607E-04
   58   2.5955236295157670E-04
   59   2.4931276770617149E-04
   60   2.1014760794626494E-04
   61   2.0193742085965717E-04
   62   2.0691105162571829E-04
   63   1.8717973814784124E-04
   64   1.6863770666777087E-04
   65   1.6461783913886255E-04
   66   1.5257610605684912E-04
   67   1.5195323591469197E-04
   68   1.2462981762214860E-04
   69   1.3157454332056315E-04
   70   1.1491007239791441E-04
   71   1.0548766925396734E-04
   72   1.1245236889814990E-04
   73   9.7710920162549019E-05
   74   1.0709697087988900E-04
   75   9.4982337262030348E-05
   76   9.6904319272074903E-05
   77   8.2907229954565464E-05
   78   9.5424871539340710E-05
   79   7.0582231339278350E-05
   80   8.1054923497523028E-05
   81   7.7147647704162099E-05
   82   8.0810020671508308E-05
   83   7.0284969596355089E-05
   84   6.6175376011909403E-05
   85   6.3232623680055971E-05
   86   5.2963425581593337E-05
   87   6.1509268773825241E-05
   88   5.4006587449412409E-05
   89   5.5624029875742283E-05
   90   4.8902356644364703E-05
   91   5.3490685955200889E-05
   92   4.4159583279433767E-05
   93   4.9609926007585822E-05
   94   4.1143223298928016E-05
   95   3.9984216129214252E-05
   96   3.5923022499295024E-05
   97   3.9757940132923088E-05
   98   3.3959384357690177E-05
   99   3.6494612088313736E-05
  100   3.3372843484705020E-05
  101   2.9349959436195513E-05
  102   2.5593049470862218E-05
  103   2.6364553731034993E-05
  104   2.4964428166734672E-05
  105   2.6675505133414824E-05
  106   2.5252867418552413E-05
  107   2.4023255325864997E-05
  108   2.3786457142074611E-05
  109   2.4201502398802062E-05
  110   2.1623494590508766E-05
  111   1.9271211440923197E-05
  112   2.0033604533661082E-05
  113   2.1060259160547380E-05
  114   1.7705630214560365E-05
  115   2.1253354925766553E-05
  116   1.7181386850405632E-05
  117   1.6984084267711368E-05
  118   1.7256156716323989E-05
  119   1.6917531030619753E-05
  120   1.7406110698784356E-05
  121   1.7044006196361856E-05
  122   1.7771367067896098E-05
  123   1.6520245439784298E-05
  124   1.6552700073722310E-05
  125   1.4215367441487576E-05
  126   1.5788943902926339E-05
  127   1.5751656668525995E-05
  128   1.6583965617563756E-05
