#  kx   kyz         |phi(kx, kyz)|^2
   56     2   1.2224404637591524E-11
   57     2   5.4366575131101307E-12
   58     2   1.2202430458686622E-11
   59     2   4.9576917087819466E-12
   60     2   6.5570746928624466E-12
   61     2   9.0720049326090508E-12
   62     2   8.6493318011692482E-12
   63     2   3.2065230398995044E-12
   64     2   9.4739003164932480E-12

    0     3   2.9911583018023028E-10
    1     3   1.9067866872780850E-09
    2     3   2.0930682983513541E-09
    3     3   7.6042092734678029E-10
    4     3   1.5577677315055094E-09
    5     3   2.0736441179801135E-09
    6     3   1.4110273867501085E-09
    7     3   2.3147432079568666E-09
    8     3   2.6060068029489762E-09
    9     3   1.2247051863630737E-09
   10     3   2.3380854159032366E-09
   11     3   1.2504649303212036E-09
   12     3   8.8020568995630670E-10
   13     3   2.2162166552161681E-09
   14     3   1.7058350504587230E-09
   15     3   6.2921947976311645E-10
   16     3   2.0113806164086366E-09
   17     3   2.0100762305850757E-09
   18     3   6.8293690172575639E-10
   19     3   1.6928888230437650E-09
   20     3   2.0651951364713461E-09
   21     3   1.2500991335938234E-09
   22     3   9.2174214547199443E-10
   23     3   2.6961046681023721E-09
   24     3   1.0835185135808746E-09
   25     3   2.7011002984740216E-09
   26     3   9.2732827891330980E-10
   27     3   1.2384255625125867E-09
   28     3   2.1292519590640583E-09
   29     3   1.6063676125553514E-09
   30     3   7.1289706944594705E-10
   31     3   2.0517385948793791E-09
   32     3   1.9613020686961456E-09
   33     3   6.2267660416171360E-10
   34     3   1.7593441435270159E-09
   35     3   2.1863683419108805E-09
   36     3   8.4313299715010191E-10
   37     3   1.3271111744093427E-09
   38     3   2.2793724451710959E-09
   39     3   1.2646122753043755E-09
   40     3   2.5343837147999238E-09
   41     3   2.4462300386537672E-09
   42     3   1.3203423978909119E-09
   43     3   2.1942215511347375E-09
   44     3   1.4284446275612174E-09
   45     3   7.9454607490016220E-10
   46     3   2.1600791029949935E-09
   47     3   1.8123956450504198E-09
   48     3   6.0499786422939180E-10
   49     3   1.9365705068782258E-09
