#  kx   kyz         |phi(kx, kyz)|^2
    8     3   1.6265506713812700E-04
    9     3   7.7819306645371769E-05
   10     3   2.2557864573836898E-05
   11     3   1.3947964336821561E-05
   12     3   9.7400966999867766E-06
   13     3   3.6981170680293779E-06
   14     3   1.8070297706068108E-06
   15     3   1.4188592142646037E-06
   16     3   7.2844410367676666E-08
   17     3   1.8568354740870066E-07
   18     3   2.5953922213351282E-07
   19     3   9.4868012411303215E-08
   20     3   1.3303368770462850E-07
   21     3   1.5353454594434837E-07
   22     3   1.2990284318202374E-07
   23     3   6.7306299599130974E-08
   24     3   7.6870016874556335E-08
   25     3   9.2177633079284585E-08
   26     3   9.9590411996609426E-08
   27     3   9.4568614314223595E-08
   28     3   9.2654882997494480E-08
   29     3   7.3247199960672239E-08
   30     3   7.8839916653295981E-08
   31     3   7.2408667657872471E-08
   32     3   8.3420841449275958E-08
   33     3   7.2551581609024897E-08
   34     3   5.4729664964255961E-08
   35     3   4.6268554921659712E-08
   36     3   5.1105974510197014E-08
   37     3   7.3820909842776194E-08
   38     3   5.1982240866432893E-08
   39     3   6.9645897184584980E-08
   40     3   3.7258559404214794E-08
   41     3   6.6628778310726092E-08
   42     3   5.5710738574032671E-08
   43     3   6.5248079829320560E-08
   44     3   5.5344783398503714E-08
   45     3   5.5516018922335127E-08
   46     3   5.3946307776592014E-08
   47     3   4.9958228277660474E-08
   48     3   4.1208288749913903E-08
   49     3   5.7848832320942336E-08
   50     3   4.0620312613152065E-08
   51     3   6.0470461988550755E-08
   52     3   2.9180224352283626E-08
   53     3   4.7602097636229210E-08
   54     3   4.7353194617281080E-08
   55     3   6.2401106394246725E-08
   56     3   5.2020909132656319E-08
   57     3   3.8213538577720680E-08
   58     3   6.6443776363188012E-08
   59     3   5.1269086705930720E-08
   60     3   5.5386284684875559E-08
   61     3   4.4078984574191415E-08
   62     3   7.0793372000265429E-08
   63     3   6.1025193266444673E-08
   64     3   5.0794135631268097E-08

    0     4   9.8178902386327019E-05
    1     4   1.2354291384230407E-03
    2     4   3.2493255644012510E-03
    3     4   3.0049322978211658E-03
    4     4   6.5906176248296832E-04
    5     4   1.7839939387495260E-04
    6     4   1.8560749128816687E-04
    7     4   2.6599729559102439E-04
    8     4   1.1539617727365476E-04
    9     4   4.0837050746271933E-05
   10     4   1.2736053375539057E-05
   11     4   9.3525234113494639E-06
   12     4   3.9480743461073727E-06
