#   k               |phi(k)|^2
    0   7.9483705025901530E-07
    1   7.0538476921677851E-01
    2   4.9594785795683116E-01
    3   2.7576402948849343E-01
    4   1.1359738257263696E-01
    5   8.0969358856650783E-02
    6   3.3128501327890927E-02
    7   3.4113183138843484E-02
    8   2.9142201488771436E-02
    9   2.1542040956904648E-02
   10   1.0915405290206650E-02
   11   6.8709418189659812E-03
   12   7.9971964291466920E-03
   13   7.8011933753771657E-03
   14   8.2226173032976854E-03
   15   4.0146290053354877E-03
   16   3.5614974667721139E-03
   17   5.8115679140109426E-03
   18   4.2261753924489557E-03
   19   3.6049622521555900E-03
   20   3.0575836735138571E-03
   21   3.3459133997818498E-03
   22   2.0812330370658517E-03
   23   3.3502082924067788E-03
   24   1.7838274386568506E-03
   25   2.0699194658962252E-03
   26   1.7928964015054452E-03
   27   1.3672249674722043E-03
   28   1.0479349717176392E-03
   29   1.3424101589087170E-03
   30   8.6015738405741647E-04
   31   1.0119640131941721E-03
   32   8.0577012388440060E-04
   33   6.9187130776837984E-04
   34   6.2790676834363732E-04
   35   4.1556566820659277E-04
   36   5.2286281055416309E-04
   37   4.3911522206498095E-04
   38   7.6916219310841586E-04
   39   4.6103843967799425E-04
   40   5.4898516322905656E-04
   41   5.2244266752235415E-04
   42   4.4976815336723462E-04
   43   5.2139788659539697E-04
   44   3.6715563707816564E-04
   45   4.3701989840702767E-04
   46   4.0546078178163212E-04
   47   3.3793637811007602E-04
   48   2.7769979022646089E-04
   49   2.2000873892506195E-04
   50   2.0721378222674400E-04
   51   1.9499215749691507E-04
   52   2.2324687353592992E-04
   53   1.8181293091745093E-04
   54   1.4473639435036092E-04
   55   2.0374658706688974E-04
   56   1.5785981537325553E-04
   57   1.6788470730274608E-04
   58   1.4108691842445179E-04
   59   1.4135158956726589E-04
   60   1.6490421877548658E-04
   61   1.1555596552407354E-04
   62   1.5990602143080998E-04
   63   1.4832647573281024E-04
   64   1.0931862852054441E-04
