#  kx   kyz         |phi(kx, kyz)|^2
   56     2   2.1199894705661236E-07
   57     2   1.1032419104552962E-07
   58     2   4.6920486143658325E-08
   59     2   5.3226660295787811E-08
   60     2   2.4672739146789501E-08
   61     2   2.9390924820490533E-09
   62     2   2.9152300590332153E-08
   63     2   6.4262505308881088E-08
   64     2   1.6822126553409612E-08

    0     3   6.9759317639510364E-05
    1     3   3.9720734565484199E-06
    2     3   4.6785686415521530E-05
    3     3   8.1096411210447926E-06
    4     3   1.9024653018450074E-05
    5     3   1.1212358696768093E-05
    6     3   8.7495099690647395E-06
    7     3   3.4333662765370474E-06
    8     3   1.4165310173892515E-06
    9     3   9.6119784231642590E-07
   10     3   5.0807642372164697E-06
   11     3   4.1823524277362128E-08
   12     3   1.1704127057057854E-06
   13     3   9.0395774428174716E-07
   14     3   3.0500083585147687E-06
   15     3   3.9256876177199221E-07
   16     3   8.4858117679362723E-07
   17     3   6.4600397003412994E-08
   18     3   8.4947076987593777E-07
   19     3   2.1712948527213196E-07
   20     3   4.5003094481238887E-07
   21     3   3.5079588918365216E-07
   22     3   6.0985311127223558E-07
   23     3   1.0493528370149043E-07
   24     3   3.5327696124949418E-07
   25     3   3.9275655999221904E-08
   26     3   5.7021181162440120E-08
   27     3   7.8840327692513218E-08
   28     3   3.0732691894822386E-08
   29     3   1.1368444378569338E-07
   30     3   6.8293355520777659E-08
   31     3   8.6379190537073413E-08
   32     3   8.8555176900571892E-08
   33     3   1.3420681773393674E-08
   34     3   3.2719786553069007E-08
   35     3   1.3869545694225568E-08
   36     3   9.4409278926872371E-09
   37     3   6.2402356807380185E-08
   38     3   1.9247082636295926E-09
   39     3   4.1859109458005137E-08
   40     3   3.4952524959941509E-08
   41     3   1.0241245370888746E-08
   42     3   1.4498942364865204E-07
   43     3   4.8710853214508680E-08
   44     3   6.1518031401868669E-08
   45     3   1.5149149882356220E-08
   46     3   3.2481272507938188E-08
   47     3   2.4421578383866011E-08
   48     3   2.1259603504531976E-07
   49     3   5.1830412051169426E-08
   50     3   3.0425110277745847E-08
   51     3   6.0129765773421553E-08
   52     3   2.4425873200985661E-08
   53     3   4.3219928323688687E-08
   54     3   6.3898258651529422E-08
   55     3   3.5640922019460856E-08
   56     3   1.8117950279073308E-07
   57     3   1.1523095358174749E-07
   58     3   3.5762423250156429E-08
   59     3   5.1040217804416330E-08
   60     3   3.4362822523226721E-08
   61     3   2.6988872373276926E-09
   62     3   4.0833809730658544E-08
   63     3   6.2881072219542538E-08
   64     3   1.3272090741675858E-08

    0     4   5.6010157516572350E-05
    1     4   4.2415283506818019E-06
    2     4   5.1051068553643742E-05
    3     4   9.6361187016110241E-06
    4     4   2.6758348829238708E-05
    5     4   1.0757008959378092E-05
    6     4   6.5711660734104001E-06
    7     4   4.2516004141195300E-06
    8     4   1.3906342182620668E-06
    9     4   1.2253215108463539E-06
   10     4   5.7633529891313504E-06
   11     4   2.2015856991481278E-08
   12     4   1.6107106386161194E-06
   13     4   9.4692588234554208E-07
   14     4   3.1903020855725346E-06
   15     4   3.8910939810731347E-07
   16     4   8.8421053873653204E-07
   17     4   8.0414580944868992E-08
   18     4   8.9664377375714178E-07
   19     4   2.0668153999210573E-07
   20     4   4.9682989690881868E-07
   21     4   3.4952420577562619E-07
   22     4   7.2519908630789174E-07
   23     4   1.0252870832507501E-07
   24     4   3.8598606835901508E-07
   25     4   4.4119439200321986E-08
   26     4   6.6881420243195842E-08
   27     4   6.7360849594716852E-08
   28     4   3.7444099114261723E-08
   29     4   1.2466549085034486E-07
   30     4   5.1283939172289018E-08
   31     4   9.3501867874154896E-08
   32     4   8.8475324739666387E-08
   33     4   1.6135347289924757E-08
   34     4   3.4439525921866535E-08
   35     4   1.4695493599207996E-08
   36     4   1.2252122555627046E-08
   37     4   5.5428357088839042E-08
   38     4   3.3080336887585292E-09
   39     4   4.3434438059509085E-08
   40     4   3.5684257368034144E-08
   41     4   1.0615517284685182E-08
   42     4   1.4882887816015489E-07
   43     4   4.9280267111828490E-08
   44     4   5.3614014518951812E-08
   45     4   1.8187820921202751E-08
   46     4   2.1921205581596943E-08
   47     4   3.1103845372583475E-08
   48     4   1.9408367685504741E-07
   49     4   4.5528927584783338E-08
   50     4   4.0302084839854740E-08
   51     4   6.0665426299541943E-08
   52     4   2.0505032338249420E-08
   53     4   3.6091854669787388E-08
   54     4   8.0642144117289137E-08
   55     4   4.1707129508962235E-08
   56     4   1.4461118616721284E-07
   57     4   1.1752502461900347E-07
   58     4   2.7063004502134958E-08
   59     4   4.8222107895942176E-08
   60     4   4.2822987591116664E-08
   61     4   5.0150604744212048E-09
   62     4   5.3127491569694611E-08
   63     4   6.0504881895767693E-08
   64     4   1.0901928024272292E-08

    0     5   3.2206755205885580E-03
    1     5   3.2328875225198409E-02
    2     5   3.4510195697608555E-02
    3     5   2.2568072993857068E-02
    4     5   2.0073576122515282E-02
    5     5   7.3793804237285321E-04
    6     5   4.2745375788649214E-03
    7     5   1.0580678313106210E-03
    8     5   2.6509942713993963E-03
    9     5   5.8403256171853210E-05
   10     5   3.4355388603656039E-04
   11     5   1.6291320566726609E-04
   12     5   1.5218920700498897E-04
   13     5   4.5098650970359229E-05
   14     5   7.5625983713886873E-05
   15     5   3.8276728803314482E-05
   16     5   1.5296412073335341E-05
   17     5   1.5111490088889078E-05
   18     5   8.8352686735033054E-06
   19     5   4.6964422564364664E-06
   20     5   2.3083178179488325E-06
   21     5   2.7819654655086028E-06
   22     5   1.6662237877860659E-06
   23     5   8.1025754793293400E-07
   24     5   8.7470791321088810E-07
   25     5   1.9399666725206874E-07
   26     5   5.8284610738084382E-07
   27     5   2.8461296610663723E-07
   28     5   1.2718830214056813E-07
   29     5   3.9821667631231861E-07
   30     5   2.4416133377235392E-07
   31     5   3.7183093245859656E-07
   32     5   2.4524292987873938E-07
   33     5   2.1069260953535058E-07
   34     5   1.2406839491394402E-07
   35     5   1.2592459877000203E-07
   36     5   1.4959762048060113E-07
   37     5   6.9240208981805528E-08
   38     5   1.3887390038296311E-07
   39     5   8.3765620155988127E-08
   40     5   3.0061213373385780E-07
   41     5   2.4100152956736383E-07
   42     5   4.5118093244242774E-07
   43     5   3.2459572972245976E-07
   44     5   2.3917860460952339E-07
   45     5   1.3295949999565184E-07
   46     5   5.8786230570374062E-08
   47     5   5.2652000866708961E-08
   48     5   4.8915371932990499E-07
   49     5   2.5262788146327413E-07
   50     5   5.8107161629700751E-08
   51     5   6.3267955652392217E-08
   52     5   2.1246465793305310E-07
   53     5   2.0906045309071556E-07
   54     5   2.3502501690926756E-07
   55     5   1.4716424673945230E-07
   56     5   2.5271650289322713E-07
   57     5   6.6648597459164970E-07
   58     5   1.0961825204114509E-07
   59     5   1.2959591572869225E-07
   60     5   1.2090324085779080E-07
   61     5   1.7078323317506810E-07
   62     5   2.7342027382822062E-07
   63     5   5.1074174457796685E-07
   64     5   4.1756918060177987E-08

    0     6   1.0634153462001361E-02
    1     6   1.5640624827672719E-03
    2     6   9.0707392018386044E-03
    3     6   7.7300765173017377E-04
    4     6   4.8307691771693030E-03
    5     6   4.2855159851135386E-03
    6     6   2.4221508436105730E-03
    7     6   7.0209140753097539E-04
    8     6   2.0480350596034343E-03
    9     6   5.5438187455749376E-04
   10     6   7.8265933381065328E-04
   11     6   2.4999238941362612E-04
   12     6   5.3836691251910648E-04
   13     6   7.5418823809613640E-05
   14     6   1.5670994071050379E-04
   15     6   2.1197285253428399E-05
   16     6   8.2541498957013762E-05
   17     6   1.1740105856072620E-05
   18     6   2.4476601739717754E-05
   19     6   1.6150905555896558E-06
   20     6   6.7822050565696692E-06
   21     6   1.1767247278986951E-06
   22     6   2.2882645830224304E-06
   23     6   1.3852245111742503E-06
   24     6   1.1616793665322854E-06
   25     6   1.5046752297389925E-07
   26     6   1.9853050732658655E-07
   27     6   1.3565087204666240E-07
   28     6   8.7114963105583961E-08
   29     6   4.4547199051846362E-07
   30     6   4.4825749310653214E-08
   31     6   3.6475991614284269E-07
   32     6   1.0571750433949932E-07
   33     6   1.1177817204585926E-07
   34     6   1.6449812941956639E-08
   35     6   9.1441710233933863E-08
   36     6   7.9738470804663717E-08
   37     6   4.2577959537820376E-08
   38     6   3.5013781937413637E-08
   39     6   2.9849454149792023E-08
   40     6   1.4427905289682469E-07
   41     6   1.2630904307675002E-07
   42     6   3.1342511644298234E-07
   43     6   1.5157563267062936E-07
   44     6   7.4447162799158073E-08
   45     6   4.8541963393192890E-08
   46     6   4.7679083636432746E-08
   47     6   2.5722404220238711E-08
   48     6   3.5119901654654594E-07
   49     6   1.2877641527466551E-07
   50     6   1.2538492711283875E-08
   51     6   7.8208032384162408E-09
   52     6   1.0551870736427417E-07
   53     6   9.5293743768479575E-08
   54     6   1.9648873616556000E-07
   55     6   1.3913786407288456E-07
   56     6   1.1641908255860911E-07
   57     6   2.2426577597966365E-07
   58     6   1.5538010615489601E-07
   59     6   1.0027336487815422E-07
   60     6   4.4676840106245168E-08
   61     6   4.3587981410264422E-08
   62     6   1.8539643113526680E-07
   63     6   1.1750763299521154E-07
   64     6   3.7933387415348840E-08

    0     7   5.2777981537338657E-04
    1     7   1.1087326107520851E-02
    2     7   8.5539892925778523E-03
    3     7   7.9316555835406456E-03
    4     7   8.3542130548384958E-03
    5     7   3.3201434334312152E-03
    6     7   7.2057673843093535E-03
    7     7   1.8215348300736677E-03
    8     7   5.8304883432155343E-04
    9     7   2.0021384731847003E-03
   10     7   7.6119819667020458E-04
   11     7   7.0659224426169954E-04
   12     7   8.7294488958505393E-05
   13     7   3.1184989550288084E-04
   14     7   3.1409712856714281E-05
   15     7   1.5091236861185613E-04
   16     7   4.6914097355778487E-05
   17     7   2.7442983485404805E-05
   18     7   1.7840006739993904E-05
   19     7   8.6694146684166401E-06
   20     7   1.5392732551937409E-05
   21     7   6.4184410799540529E-06
   22     7   1.0455115240784982E-05
   23     7   2.3482062012945716E-06
   24     7   5.3306459229704768E-06
   25     7   1.6084049358752444E-06
   26     7   1.3188434403109102E-06
   27     7   7.0069646164617104E-07
   28     7   1.2823457036765307E-07
   29     7   4.2312535239961403E-07
   30     7   2.0042785350940408E-07
   31     7   2.7521871456829981E-07
   32     7   5.0550896711695770E-08
   33     7   1.7686283929758828E-07
   34     7   1.4369835211491495E-07
   35     7   3.5832215487530360E-07
   36     7   7.5722246611076316E-08
   37     7   1.3724780468264626E-07
   38     7   1.2292202741698417E-07
   39     7   1.8020002156423534E-07
   40     7   1.1482093607210744E-07
   41     7   6.7313890074201424E-08
   42     7   1.8925485600081294E-08
   43     7   2.6472167381957190E-08
   44     7   4.8028734725459328E-08
   45     7   2.1468432046822699E-07
   46     7   4.5588113459137231E-08
   47     7   2.0955915046788368E-07
   48     7   1.1973224805123414E-07
   49     7   9.6507003812459792E-08
   50     7   1.8142822742122745E-07
   51     7   1.5118641597150906E-07
   52     7   4.8737905222710269E-08
   53     7   1.6498329965991790E-07
   54     7   1.4505212571520767E-07
   55     7   1.7848309245784565E-07
   56     7   1.1883762675017519E-07
   57     7   1.8453872892174337E-07
   58     7   2.7207392060703029E-08
