#   k               |phi(k)|^2
    0   4.5842248134147350E-05
    1   9.4364782060446994E-05
    2   1.8685559947138059E-04
    3   1.3694116679790268E-04
    4   1.4160870542666656E-04
    5   9.2723464000899203E-02
    6   4.2165805033743335E-02
    7   4.2246319528684739E-02
    8   3.9801631272773620E-02
    9   2.7661618305729638E-02
   10   2.6445725468663129E-02
   11   1.6775417263868265E-02
   12   1.3873597682468979E-02
   13   1.9073326422209845E-02
   14   1.3003918101321208E-02
   15   6.7656232857445479E-03
   16   7.8897262226273104E-03
   17   1.1014849836059382E-02
   18   1.0920468424071173E-02
   19   7.4009840638093955E-03
   20   7.3548109856918266E-03
   21   6.0719176019723752E-03
   22   5.4628275359323809E-03
   23   5.5455610488137352E-03
   24   5.2000771795009939E-03
   25   5.0851728742034126E-03
   26   4.8626051600625005E-03
   27   4.0738613471759440E-03
   28   3.0335839917930035E-03
   29   3.6217968021175890E-03
   30   2.5408202238563454E-03
   31   3.1009476134378810E-03
   32   2.2984224928636692E-03
   33   2.7736239429790501E-03
   34   2.2472145328051563E-03
   35   1.7201420590676785E-03
   36   1.7078241334289703E-03
   37   1.8787140346332189E-03
   38   1.9353117997266615E-03
   39   1.8323053620230053E-03
   40   1.0053768142705189E-03
   41   1.5360477471264235E-03
   42   1.1333374531670270E-03
   43   1.2908595738560162E-03
   44   1.0697808222624825E-03
   45   1.0016767086339650E-03
   46   1.0663645570446736E-03
   47   9.3005612475086520E-04
   48   9.9202551688175019E-04
   49   7.5034980643449501E-04
   50   7.6159682058841375E-04
   51   6.5115286503213327E-04
   52   7.0895711236932117E-04
   53   6.0319873984735449E-04
   54   5.8706273432795148E-04
   55   6.0784701086791216E-04
   56   5.8625266949237755E-04
   57   5.4623298195747975E-04
   58   4.1273908045796046E-04
   59   5.1503345870148687E-04
   60   5.8062162730987150E-04
   61   4.2456065132198049E-04
   62   4.3829477682750715E-04
   63   4.5837411421325268E-04
   64   3.5183946774237435E-04
