#  kx              |phi(kx)|^2
    0   5.5024089935851880E-02
    1   6.0479419302438964E-01
    2   4.7707918607688340E+00
    3   1.4356601392095383E+00
    4   3.8434183957747725E-01
    5   1.6891670914171941E-01
    6   8.6411391869129384E-02
    7   3.0303560011287648E-02
    8   2.7294468952272128E-02
    9   2.3416111746429772E-02
   10   2.3772691312758523E-02
   11   1.0189810192450110E-02
   12   1.7067270477655716E-02
   13   8.4131196239155930E-03
   14   1.1180224052780728E-02
   15   7.3522935407751497E-03
   16   1.0551045477407857E-02
   17   5.8779808132752298E-03
   18   6.9499928152061581E-03
   19   8.7357076918472935E-03
   20   6.3783311971060070E-03
   21   5.2912422503968845E-03
   22   4.8193209835797708E-03
   23   3.6801036981945505E-03
   24   3.6229825029306835E-03
   25   4.0472578150133592E-03
   26   2.4683371305967371E-03
   27   3.9174872551844559E-03
   28   1.6988005596350903E-03
   29   4.2858635919847008E-03
   30   2.0801129903458703E-03
   31   3.6063959620806392E-03
   32   1.6769640162885068E-03
   33   2.3831238896993667E-03
   34   2.6725104012234888E-03
   35   3.3659831746209556E-03
   36   1.8583478881055225E-03
   37   1.1003517542421471E-03
   38   2.2407879052100100E-03
   39   3.3139349905287560E-03
   40   2.1476312062587632E-03
   41   1.6032308094184474E-03
   42   2.4357022936745310E-03
   43   1.9452940391068325E-03
   44   2.3280287256536962E-03
   45   9.3978736380691339E-04
   46   1.1302246369726899E-03
   47   1.0177082847823643E-03
   48   1.5524073320801869E-03
   49   2.3639863962774221E-03
   50   2.6493175640303593E-03
   51   1.5375111032914167E-03
   52   1.5521434387198564E-03
   53   1.7979890854353964E-03
   54   1.0817777378389797E-03
   55   1.9514888696335840E-03
   56   1.1774798294543461E-03
   57   9.8563046547665151E-04
   58   1.3926448741121481E-03
   59   1.1817297569362316E-03
   60   1.3308359092427694E-03
   61   1.1966634971383853E-03
   62   1.1800922277008540E-03
   63   1.9379934939943455E-03
   64   1.8587741162734020E-03
