#   k               |phi(k)|^2
    0   1.1277373079145423E-33
    1   2.6476404479681692E-01
    2   4.0729943291293452E-01
    3   2.6037591667658766E-01
    4   6.6028644982874377E-02
    5   2.9759691071083814E-02
    6   1.1339198427566168E-02
    7   5.5197009289101456E-03
    8   2.3266262996028972E-03
    9   2.0637318150069405E-03
   10   1.4839085466337488E-03
   11   1.0475541687547877E-03
   12   6.7256667699318990E-04
   13   4.5721260459412571E-04
   14   4.8806378557379504E-04
   15   1.9224549367319549E-04
   16   1.3745148759485156E-04
   17   2.3320451100784608E-04
   18   1.6643866765366210E-04
   19   8.3182485127888616E-05
   20   7.9211374392487293E-05
   21   7.8027322206683281E-05
   22   7.5932053030581842E-05
   23   4.3322151840623411E-05
   24   1.4495124121844611E-04
   25   6.6863812375640973E-05
   26   2.9503772996098248E-05
   27   2.6194567116722785E-05
   28   4.7016728631892904E-05
   29   4.7463504214534826E-05
   30   4.7323746447788618E-05
   31   3.4817725845673140E-05
   32   3.2050430917533549E-05
   33   1.3162988618372332E-05
   34   3.3139557510009149E-05
   35   1.3089251903461635E-05
   36   2.7527546135629077E-05
   37   2.3247276253753644E-05
   38   2.0272235053751496E-05
   39   2.3685548610175356E-05
   40   1.7013818329426474E-05
   41   1.7025737893170683E-05
   42   1.8764599774016546E-05
   43   1.2971134554147748E-05
   44   1.5124834612438376E-05
   45   1.9822334700161593E-05
   46   1.2391711034076424E-05
   47   6.5847373415206784E-06
   48   1.1289882287369892E-05
   49   9.3043055418045217E-06
   50   1.3083698979759477E-05
   51   1.2547158246974510E-05
   52   7.1518195269062098E-06
   53   6.4426256548167778E-06
   54   9.9373867501340408E-06
   55   6.9192175420310718E-06
   56   8.8082009610997587E-06
   57   5.1883079877650370E-06
   58   5.2853798194580576E-06
   59   7.8647081817407356E-06
   60   4.0535319678998012E-06
   61   8.0149024639432680E-06
   62   4.7243313198907293E-06
   63   4.7519746926054105E-06
   64   4.5633360548044481E-06
   65   5.8610715486398167E-06
   66   4.3269038626440066E-06
   67   4.7645865494267457E-06
   68   2.3988924846737726E-06
   69   2.2930316679981734E-06
   70   1.8798321863400802E-06
   71   4.8806359442751073E-06
   72   2.0225844472132358E-06
   73   2.5394053647712033E-06
   74   3.2007224200280030E-06
   75   1.7127356791292141E-06
   76   3.2931794291825186E-06
   77   2.1044460012317923E-06
   78   2.7649970351766260E-06
   79   1.6074154836915594E-06
   80   2.2223949429623431E-06
   81   2.4093790366772430E-06
   82   1.2632594642060365E-06
   83   2.8954310711345499E-06
   84   3.0992665742196303E-07
   85   1.5604474432088162E-06
   86   1.2019688874535421E-06
   87   1.5490122821869806E-06
   88   1.7392479619987228E-06
   89   1.0872213929337410E-06
   90   1.1973097189162453E-06
   91   2.3506025851347930E-06
   92   1.6819700276606550E-06
   93   1.8086649379257368E-06
   94   1.6247573803816693E-06
   95   6.6698858511130735E-07
   96   1.7585259921759796E-06
   97   1.1529392862790931E-06
   98   1.6286345649074577E-06
   99   1.5708482942959210E-06
  100   1.2498405035649375E-06
  101   1.1417279904487575E-06
  102   1.3289029236205469E-06
  103   1.1889047944994316E-06
  104   1.3234971147149693E-06
  105   6.7025462669630577E-07
  106   9.6848212778917465E-07
  107   9.4264246995899301E-07
  108   8.5586606007445446E-07
  109   1.0316244373633556E-06
  110   5.7063746308638470E-07
  111   9.6748277873582308E-07
  112   6.9197187171208920E-07
  113   5.0020064402761296E-07
  114   1.0995099041860814E-06
  115   4.0023682295198483E-07
  116   6.7137438190972532E-07
  117   7.4150008320275576E-07
  118   3.8558303876115016E-07
  119   1.2476925039369863E-06
  120   8.0603282446130754E-07
  121   5.2023372275656088E-07
  122   1.0012870261415803E-06
  123   1.0496691794171718E-06
  124   9.5421235339198687E-07
  125   5.7008326115997785E-07
  126   1.3221654578375042E-07
  127   7.9936226260008084E-07
  128   9.9424199113725585E-14
